flight_number,departure_airport,arrival_airport,departure_time,departure_weather,arrival_weather,historical_departure_weather,historical_arrival_weather
H19967,Tagbilaran,Seoul (Incheon),2025-03-21T01:45:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 26.0, 'windspeed': 13.6, 'winddirection': 11, 'is_day': 0, 'weathercode': 2}",,"[{'date': '2024-03-21', 'temperature': 27.4, 'precipitation': 0.0, 'wind_speed': 13.6}, {'date': '2023-03-22', 'temperature': 27.2, 'precipitation': 0.0, 'wind_speed': 9.7}, {'date': '2022-03-22', 'temperature': 27.5, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2021-03-22', 'temperature': 27.7, 'precipitation': 0.0, 'wind_speed': 6.9}, {'date': '2020-03-22', 'temperature': 28.3, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2019-03-23', 'temperature': 26.1, 'precipitation': 0.0, 'wind_speed': 4.1}, {'date': '2018-03-23', 'temperature': 26.5, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2017-03-23', 'temperature': 26.7, 'precipitation': 0.0, 'wind_speed': 1.8}, {'date': '2016-03-23', 'temperature': 27.3, 'precipitation': 0.0, 'wind_speed': 15.6}]",
AS5018,Wellington International,Sydney Kingsford Smith Airport,2025-03-21T06:00:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 14.9, 'windspeed': 13.2, 'winddirection': 154, 'is_day': 0, 'weathercode': 2}",,"[{'date': '2024-03-21', 'temperature': 15.7, 'precipitation': 0.0, 'wind_speed': 26.4}, {'date': '2023-03-22', 'temperature': 15.5, 'precipitation': 0.0, 'wind_speed': 17.8}, {'date': '2022-03-22', 'temperature': 22.6, 'precipitation': 0.2, 'wind_speed': 11.9}, {'date': '2021-03-22', 'temperature': 16.0, 'precipitation': 0.2, 'wind_speed': 18.1}, {'date': '2020-03-22', 'temperature': 19.8, 'precipitation': 0.0, 'wind_speed': 29.4}, {'date': '2019-03-23', 'temperature': 18.9, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2018-03-23', 'temperature': 14.6, 'precipitation': 0.2, 'wind_speed': 22.1}, {'date': '2017-03-23', 'temperature': 17.0, 'precipitation': 0.0, 'wind_speed': 16.2}, {'date': '2016-03-23', 'temperature': 21.7, 'precipitation': 0.0, 'wind_speed': 12.2}]",
,Leigh Creek,Moomba,2025-03-21T19:40:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 23.2, 'windspeed': 4.6, 'winddirection': 108, 'is_day': 0, 'weathercode': 3}","{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 24.5, 'windspeed': 4.8, 'winddirection': 77, 'is_day': 0, 'weathercode': 3}","[{'date': '2024-03-21', 'temperature': 20.2, 'precipitation': 0.0, 'wind_speed': 30.8}, {'date': '2023-03-22', 'temperature': 31.1, 'precipitation': 0.0, 'wind_speed': 11.1}, {'date': '2022-03-22', 'temperature': 32.0, 'precipitation': 0.0, 'wind_speed': 11.8}, {'date': '2021-03-22', 'temperature': 19.0, 'precipitation': 1.0, 'wind_speed': 9.4}, {'date': '2020-03-22', 'temperature': 26.8, 'precipitation': 0.0, 'wind_speed': 14.5}, {'date': '2019-03-23', 'temperature': 33.9, 'precipitation': 0.0, 'wind_speed': 10.0}, {'date': '2018-03-23', 'temperature': 27.9, 'precipitation': 0.0, 'wind_speed': 16.5}, {'date': '2017-03-23', 'temperature': 27.8, 'precipitation': 0.0, 'wind_speed': 11.0}, {'date': '2016-03-23', 'temperature': 27.2, 'precipitation': 0.0, 'wind_speed': 12.2}]","[{'date': '2024-03-21', 'temperature': 25.0, 'precipitation': 1.4, 'wind_speed': 10.5}, {'date': '2023-03-22', 'temperature': 27.8, 'precipitation': 0.2, 'wind_speed': 17.7}, {'date': '2022-03-22', 'temperature': 28.4, 'precipitation': 0.0, 'wind_speed': 16.4}, {'date': '2021-03-22', 'temperature': 28.8, 'precipitation': 0.0, 'wind_speed': 8.7}, {'date': '2020-03-22', 'temperature': 27.3, 'precipitation': 0.0, 'wind_speed': 21.6}, {'date': '2019-03-23', 'temperature': 27.8, 'precipitation': 0.2, 'wind_speed': 17.4}, {'date': '2018-03-23', 'temperature': 24.9, 'precipitation': 5.9, 'wind_speed': 13.7}, {'date': '2017-03-23', 'temperature': 28.8, 'precipitation': 0.0, 'wind_speed': 5.0}, {'date': '2016-03-23', 'temperature': 30.2, 'precipitation': 0.0, 'wind_speed': 5.9}]"
O37443,Chongqing Jiangbei International,Guangzhou Baiyun International,2025-03-21T02:00:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 13.9, 'windspeed': 3.6, 'winddirection': 307, 'is_day': 0, 'weathercode': 2}","{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 18.8, 'windspeed': 3.7, 'winddirection': 11, 'is_day': 0, 'weathercode': 0}","[{'date': '2024-03-21', 'temperature': 13.7, 'precipitation': 0.0, 'wind_speed': 2.6}, {'date': '2023-03-22', 'temperature': 15.5, 'precipitation': 0.0, 'wind_speed': 2.2}, {'date': '2022-03-22', 'temperature': 11.4, 'precipitation': 0.1, 'wind_speed': 6.9}, {'date': '2021-03-22', 'temperature': 7.5, 'precipitation': 0.0, 'wind_speed': 7.2}, {'date': '2020-03-22', 'temperature': 14.6, 'precipitation': 0.0, 'wind_speed': 5.6}, {'date': '2019-03-23', 'temperature': 9.8, 'precipitation': 0.2, 'wind_speed': 7.6}, {'date': '2018-03-23', 'temperature': 13.4, 'precipitation': 0.1, 'wind_speed': 5.1}, {'date': '2017-03-23', 'temperature': 12.9, 'precipitation': 0.0, 'wind_speed': 6.2}, {'date': '2016-03-23', 'temperature': 12.8, 'precipitation': 0.7, 'wind_speed': 4.3}]","[{'date': '2024-03-21', 'temperature': 16.3, 'precipitation': 0.0, 'wind_speed': 2.3}, {'date': '2023-03-22', 'temperature': 23.7, 'precipitation': 0.0, 'wind_speed': 10.9}, {'date': '2022-03-22', 'temperature': 22.3, 'precipitation': 0.0, 'wind_speed': 1.0}, {'date': '2021-03-22', 'temperature': 12.4, 'precipitation': 0.0, 'wind_speed': 14.0}, {'date': '2020-03-22', 'temperature': 22.7, 'precipitation': 0.1, 'wind_speed': 7.4}, {'date': '2019-03-23', 'temperature': 15.2, 'precipitation': 0.2, 'wind_speed': 18.4}, {'date': '2018-03-23', 'temperature': 14.3, 'precipitation': 0.0, 'wind_speed': 4.1}, {'date': '2017-03-23', 'temperature': 19.3, 'precipitation': 0.0, 'wind_speed': 5.7}, {'date': '2016-03-23', 'temperature': 19.2, 'precipitation': 1.7, 'wind_speed': 2.0}]"
D7807,Chongqing Jiangbei International,Kuala Lumpur International Airport (klia),2025-03-21T02:00:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 13.9, 'windspeed': 3.6, 'winddirection': 307, 'is_day': 0, 'weathercode': 2}",,"[{'date': '2024-03-21', 'temperature': 13.7, 'precipitation': 0.0, 'wind_speed': 2.6}, {'date': '2023-03-22', 'temperature': 15.5, 'precipitation': 0.0, 'wind_speed': 2.2}, {'date': '2022-03-22', 'temperature': 11.4, 'precipitation': 0.1, 'wind_speed': 6.9}, {'date': '2021-03-22', 'temperature': 7.5, 'precipitation': 0.0, 'wind_speed': 7.2}, {'date': '2020-03-22', 'temperature': 14.6, 'precipitation': 0.0, 'wind_speed': 5.6}, {'date': '2019-03-23', 'temperature': 9.8, 'precipitation': 0.2, 'wind_speed': 7.6}, {'date': '2018-03-23', 'temperature': 13.4, 'precipitation': 0.1, 'wind_speed': 5.1}, {'date': '2017-03-23', 'temperature': 12.9, 'precipitation': 0.0, 'wind_speed': 6.2}, {'date': '2016-03-23', 'temperature': 12.8, 'precipitation': 0.7, 'wind_speed': 4.3}]",
GS7943,Chongqing Jiangbei International,Sydney Kingsford Smith Airport,2025-03-21T01:10:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 13.9, 'windspeed': 3.6, 'winddirection': 307, 'is_day': 0, 'weathercode': 2}",,"[{'date': '2024-03-21', 'temperature': 13.7, 'precipitation': 0.0, 'wind_speed': 2.6}, {'date': '2023-03-22', 'temperature': 15.5, 'precipitation': 0.0, 'wind_speed': 2.2}, {'date': '2022-03-22', 'temperature': 11.4, 'precipitation': 0.1, 'wind_speed': 6.9}, {'date': '2021-03-22', 'temperature': 7.5, 'precipitation': 0.0, 'wind_speed': 7.2}, {'date': '2020-03-22', 'temperature': 14.6, 'precipitation': 0.0, 'wind_speed': 5.6}, {'date': '2019-03-23', 'temperature': 9.8, 'precipitation': 0.2, 'wind_speed': 7.6}, {'date': '2018-03-23', 'temperature': 13.4, 'precipitation': 0.1, 'wind_speed': 5.1}, {'date': '2017-03-23', 'temperature': 12.9, 'precipitation': 0.0, 'wind_speed': 6.2}, {'date': '2016-03-23', 'temperature': 12.8, 'precipitation': 0.7, 'wind_speed': 4.3}]",
I99801,Jinjiang,Ninoy Aquino International,2025-03-21T02:00:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 13.8, 'windspeed': 5.4, 'winddirection': 48, 'is_day': 0, 'weathercode': 0}","{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 25.2, 'windspeed': 15.7, 'winddirection': 99, 'is_day': 0, 'weathercode': 3}","[{'date': '2024-03-21', 'temperature': 14.1, 'precipitation': 0.0, 'wind_speed': 11.2}, {'date': '2023-03-22', 'temperature': 21.9, 'precipitation': 0.0, 'wind_speed': 17.1}, {'date': '2022-03-22', 'temperature': 16.7, 'precipitation': 0.0, 'wind_speed': 24.0}, {'date': '2021-03-22', 'temperature': 13.7, 'precipitation': 0.0, 'wind_speed': 18.9}, {'date': '2020-03-22', 'temperature': 21.1, 'precipitation': 0.0, 'wind_speed': 6.0}, {'date': '2019-03-23', 'temperature': 12.7, 'precipitation': 0.0, 'wind_speed': 21.8}, {'date': '2018-03-23', 'temperature': 12.9, 'precipitation': 0.0, 'wind_speed': 6.5}, {'date': '2017-03-23', 'temperature': 15.0, 'precipitation': 0.0, 'wind_speed': 6.7}, {'date': '2016-03-23', 'temperature': 14.7, 'precipitation': 0.7, 'wind_speed': 14.3}]","[{'date': '2024-03-21', 'temperature': 26.9, 'precipitation': 0.0, 'wind_speed': 13.3}, {'date': '2023-03-22', 'temperature': 26.7, 'precipitation': 0.0, 'wind_speed': 11.7}, {'date': '2022-03-22', 'temperature': 29.1, 'precipitation': 0.0, 'wind_speed': 7.8}, {'date': '2021-03-22', 'temperature': 27.9, 'precipitation': 0.1, 'wind_speed': 10.1}, {'date': '2020-03-22', 'temperature': 28.0, 'precipitation': 0.0, 'wind_speed': 8.0}, {'date': '2019-03-23', 'temperature': 26.9, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2018-03-23', 'temperature': 25.8, 'precipitation': 0.0, 'wind_speed': 10.9}, {'date': '2017-03-23', 'temperature': 27.1, 'precipitation': 0.0, 'wind_speed': 3.1}, {'date': '2016-03-23', 'temperature': 28.4, 'precipitation': 0.0, 'wind_speed': 10.1}]"
7C2152,Tagbilaran,Gimhae,2025-03-21T01:45:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 26.0, 'windspeed': 13.6, 'winddirection': 11, 'is_day': 0, 'weathercode': 2}","{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 7.1, 'windspeed': 10.6, 'winddirection': 260, 'is_day': 0, 'weathercode': 0}","[{'date': '2024-03-21', 'temperature': 27.4, 'precipitation': 0.0, 'wind_speed': 13.6}, {'date': '2023-03-22', 'temperature': 27.2, 'precipitation': 0.0, 'wind_speed': 9.7}, {'date': '2022-03-22', 'temperature': 27.5, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2021-03-22', 'temperature': 27.7, 'precipitation': 0.0, 'wind_speed': 6.9}, {'date': '2020-03-22', 'temperature': 28.3, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2019-03-23', 'temperature': 26.1, 'precipitation': 0.0, 'wind_speed': 4.1}, {'date': '2018-03-23', 'temperature': 26.5, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2017-03-23', 'temperature': 26.7, 'precipitation': 0.0, 'wind_speed': 1.8}, {'date': '2016-03-23', 'temperature': 27.3, 'precipitation': 0.0, 'wind_speed': 15.6}]","[{'date': '2024-03-21', 'temperature': 3.9, 'precipitation': 0.0, 'wind_speed': 10.7}, {'date': '2023-03-22', 'temperature': 15.3, 'precipitation': 0.0, 'wind_speed': 4.3}, {'date': '2022-03-22', 'temperature': 8.7, 'precipitation': 0.0, 'wind_speed': 9.7}, {'date': '2021-03-22', 'temperature': 5.7, 'precipitation': 0.0, 'wind_speed': 16.4}, {'date': '2020-03-22', 'temperature': 15.3, 'precipitation': 0.0, 'wind_speed': 9.3}, {'date': '2019-03-23', 'temperature': 5.3, 'precipitation': 0.0, 'wind_speed': 16.5}, {'date': '2018-03-23', 'temperature': 6.4, 'precipitation': 0.0, 'wind_speed': 7.4}, {'date': '2017-03-23', 'temperature': 10.4, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2016-03-23', 'temperature': 10.0, 'precipitation': 0.0, 'wind_speed': 13.6}]"
H19921,Tagbilaran,Gimhae,2025-03-21T01:45:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 26.0, 'windspeed': 13.6, 'winddirection': 11, 'is_day': 0, 'weathercode': 2}","{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 7.1, 'windspeed': 10.6, 'winddirection': 260, 'is_day': 0, 'weathercode': 0}","[{'date': '2024-03-21', 'temperature': 27.4, 'precipitation': 0.0, 'wind_speed': 13.6}, {'date': '2023-03-22', 'temperature': 27.2, 'precipitation': 0.0, 'wind_speed': 9.7}, {'date': '2022-03-22', 'temperature': 27.5, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2021-03-22', 'temperature': 27.7, 'precipitation': 0.0, 'wind_speed': 6.9}, {'date': '2020-03-22', 'temperature': 28.3, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2019-03-23', 'temperature': 26.1, 'precipitation': 0.0, 'wind_speed': 4.1}, {'date': '2018-03-23', 'temperature': 26.5, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2017-03-23', 'temperature': 26.7, 'precipitation': 0.0, 'wind_speed': 1.8}, {'date': '2016-03-23', 'temperature': 27.3, 'precipitation': 0.0, 'wind_speed': 15.6}]","[{'date': '2024-03-21', 'temperature': 3.9, 'precipitation': 0.0, 'wind_speed': 10.7}, {'date': '2023-03-22', 'temperature': 15.3, 'precipitation': 0.0, 'wind_speed': 4.3}, {'date': '2022-03-22', 'temperature': 8.7, 'precipitation': 0.0, 'wind_speed': 9.7}, {'date': '2021-03-22', 'temperature': 5.7, 'precipitation': 0.0, 'wind_speed': 16.4}, {'date': '2020-03-22', 'temperature': 15.3, 'precipitation': 0.0, 'wind_speed': 9.3}, {'date': '2019-03-23', 'temperature': 5.3, 'precipitation': 0.0, 'wind_speed': 16.5}, {'date': '2018-03-23', 'temperature': 6.4, 'precipitation': 0.0, 'wind_speed': 7.4}, {'date': '2017-03-23', 'temperature': 10.4, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2016-03-23', 'temperature': 10.0, 'precipitation': 0.0, 'wind_speed': 13.6}]"
7C4410,Tagbilaran,Seoul (Incheon),2025-03-21T01:45:00+00:00,"{'time': '2025-03-20T12:15', 'interval': 900, 'temperature': 26.0, 'windspeed': 13.6, 'winddirection': 11, 'is_day': 0, 'weathercode': 2}",,"[{'date': '2024-03-21', 'temperature': 27.4, 'precipitation': 0.0, 'wind_speed': 13.6}, {'date': '2023-03-22', 'temperature': 27.2, 'precipitation': 0.0, 'wind_speed': 9.7}, {'date': '2022-03-22', 'temperature': 27.5, 'precipitation': 0.0, 'wind_speed': 7.9}, {'date': '2021-03-22', 'temperature': 27.7, 'precipitation': 0.0, 'wind_speed': 6.9}, {'date': '2020-03-22', 'temperature': 28.3, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2019-03-23', 'temperature': 26.1, 'precipitation': 0.0, 'wind_speed': 4.1}, {'date': '2018-03-23', 'temperature': 26.5, 'precipitation': 0.0, 'wind_speed': 9.2}, {'date': '2017-03-23', 'temperature': 26.7, 'precipitation': 0.0, 'wind_speed': 1.8}, {'date': '2016-03-23', 'temperature': 27.3, 'precipitation': 0.0, 'wind_speed': 15.6}]",
